INFO  - 2013-08-20 14:09:14.495; org.eclipse.jetty.server.Server; jetty-8.1.8.v20121106
INFO  - 2013-08-20 14:09:14.519; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/mynocturne/coursePortal/solr-4.3.0/example/contexts at interval 0
INFO  - 2013-08-20 14:09:14.526; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/mynocturne/coursePortal/solr-4.3.0/example/contexts/solr-jetty-context.xml
INFO  - 2013-08-20 14:09:14.588; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/mynocturne/coursePortal/solr-4.3.0/example/webapps/solr.war!/ to /Users/mynocturne/coursePortal/solr-4.3.0/example/solr-webapp/webapp
INFO  - 2013-08-20 14:09:15.960; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-08-20 14:09:16.001; org.eclipse.jetty.server.handler.ContextHandler; started o.e.j.w.WebAppContext{/solr,file:/Users/mynocturne/coursePortal/solr-4.3.0/example/solr-webapp/webapp/},/Users/mynocturne/coursePortal/solr-4.3.0/example/webapps/solr.war
INFO  - 2013-08-20 14:09:16.001; org.eclipse.jetty.server.handler.ContextHandler; started o.e.j.w.WebAppContext{/solr,file:/Users/mynocturne/coursePortal/solr-4.3.0/example/solr-webapp/webapp/},/Users/mynocturne/coursePortal/solr-4.3.0/example/webapps/solr.war
INFO  - 2013-08-20 14:09:16.014; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-08-20 14:09:16.031; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-08-20 14:09:16.031; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2013-08-20 14:09:16.041; org.apache.solr.core.CoreContainer$Initializer; looking for solr config file: /Users/mynocturne/coursePortal/solr-4.3.0/example/solr/solr.xml
INFO  - 2013-08-20 14:09:16.043; org.apache.solr.core.CoreContainer; New CoreContainer 686923118
INFO  - 2013-08-20 14:09:16.045; org.apache.solr.core.CoreContainer; Loading CoreContainer using Solr Home: 'solr/'
INFO  - 2013-08-20 14:09:16.046; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2013-08-20 14:09:16.300; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-08-20 14:09:16.300; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-08-20 14:09:16.302; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-08-20 14:09:16.303; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-08-20 14:09:16.303; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-08-20 14:09:16.303; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-08-20 14:09:16.303; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-08-20 14:09:16.303; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-08-20 14:09:16.304; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-08-20 14:09:16.309; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2013-08-20 14:09:16.472; org.apache.solr.core.CoreContainer; Registering Log Listener
INFO  - 2013-08-20 14:09:16.494; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: solr/collection1
INFO  - 2013-08-20 14:09:16.495; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/collection1/'
INFO  - 2013-08-20 14:09:16.547; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2013-08-20 14:09:16.549; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2013-08-20 14:09:16.549; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2013-08-20 14:09:16.549; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2013-08-20 14:09:16.549; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2013-08-20 14:09:16.550; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2013-08-20 14:09:16.550; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
INFO  - 2013-08-20 14:09:16.550; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2013-08-20 14:09:16.550; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/extraction/lib/fontbox-1.7.1.jar' to classloader
INFO  - 2013-08-20 14:09:16.551; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/extraction/lib/icu4j-49.1.jar' to classloader
INFO  - 2013-08-20 14:09:16.551; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2013-08-20 14:09:16.551; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2013-08-20 14:09:16.551; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/extraction/lib/jempbox-1.7.1.jar' to classloader
INFO  - 2013-08-20 14:09:16.551; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2013-08-20 14:09:16.552; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
